Date,Weekday,Holiday Name,Holiday Type
22-May,Tuesday,National Maritime Day,Observance
22-May,Tuesday,Harvey Milk Day,Local observance
23-May,Wednesday,International Day to End Obstetric Fistula,United Nations observance
23-May,Wednesday,Emergency Medical Services for Children Day,Observance
25-May,Friday,African Liberation Day,Worldwide observance
25-May,Friday,National Missing Children's Day,Observance
27-May,Sunday,Trinity Sunday,Christian
28-May,Monday,Memorial Day,Federal Holiday
28-May,Monday,Jefferson Davis Birthday,Local observance
29-May,Tuesday,International Day of United Nations Peacekeepers,United Nations observance
29-May,Tuesday,Day of Vesak,United Nations observance
31-May,Thursday,Corpus Christi,Christian
31-May,Thursday,World No Tobacco Day,United Nations observance
1-Jun,Friday,Global Day of Parents,United Nations observance
1-Jun,Friday,Statehood Day,Local observance
3-Jun,Sunday,Jefferson Davis Birthday,Local observance
4-Jun,Monday,International Day of Innocent Children Victims of Aggression,United Nations observance
4-Jun,Monday,Jefferson Davis Birthday,State holiday
5-Jun,Tuesday,World Environment Day,United Nations observance
6-Jun,Wednesday,D-Day,Observance
8-Jun,Friday,World Oceans Day,United Nations observance
10-Jun,Sunday,Lailat al-Qadr,Muslim
11-Jun,Monday,Kamehameha Day,State holiday
12-Jun,Tuesday,World Day Against Child Labour,United Nations observance
14-Jun,Thursday,World Blood Donor Day,United Nations observance
14-Jun,Thursday,Army Birthday,Observance
14-Jun,Thursday,Flag Day,Observance
15-Jun,Friday,Eid al-Fitr,Muslim
15-Jun,Friday,World Elder Abuse Awareness Day,United Nations observance
17-Jun,Sunday,World Day to Combat Desertification and Drought,United Nations observance
17-Jun,Sunday,Father's Day,Observance
17-Jun,Sunday,Bunker Hill Day,State holiday
18-Jun,Monday,Bunker Hill Day observed,State holiday
19-Jun,Tuesday,Juneteenth,Local observance
19-Jun,Tuesday,Emancipation Day,State holiday
20-Jun,Wednesday,World Refugee Day,United Nations observance
20-Jun,Wednesday,West Virginia Day,State holiday
20-Jun,Wednesday,American Eagle Day,Observance
21-Jun,Thursday,June Solstice,Season
21-Jun,Thursday,International Day of Yoga,United Nations observance
23-Jun,Saturday,Public Service Day,United Nations observance
23-Jun,Saturday,International Widows' Day,United Nations observance
25-Jun,Monday,Day of the Seafarer,United Nations observance
26-Jun,Tuesday,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance
26-Jun,Tuesday,International Day in Support of Victims of Torture,United Nations observance
30-Jun,Saturday,International Asteroid Day,United Nations observance
4-Jul,Wednesday,Independence Day,Federal Holiday
7-Jul,Saturday,International Day of Cooperatives,United Nations observance
11-Jul,Wednesday,World Population Day,United Nations observance
13-Jul,Friday,Friday the 13th,Worldwide observance
18-Jul,Wednesday,Nelson Mandela Day,United Nations observance
22-Jul,Sunday,Tisha B'Av,Jewish holiday
22-Jul,Sunday,Parents' Day,Observance
24-Jul,Tuesday,Pioneer Day,State holiday
27-Jul,Friday,National Korean War Veterans Armistice Day,Observance
28-Jul,Saturday,World Hepatitis Day,United Nations observance
30-Jul,Monday,International Day of Friendship,United Nations observance
1-Aug,Wednesday,Colorado Day,Local observance
4-Aug,Saturday,Coast Guard Birthday,Observance
7-Aug,Tuesday,Purple Heart Day,Observance
9-Aug,Thursday,International Day of the World's Indigenous People,United Nations observance
12-Aug,Sunday,International Youth Day,United Nations observance
13-Aug,Monday,Victory Day,State holiday
15-Aug,Wednesday,Assumption of Mary,Christian
16-Aug,Thursday,Bennington Battle Day,State holiday
17-Aug,Friday,Statehood Day in Hawaii,State holiday
19-Aug,Sunday,World Humanitarian Day,United Nations observance
19-Aug,Sunday,National Aviation Day,Observance
21-Aug,Tuesday,Senior Citizens Day,Observance
22-Aug,Wednesday,Eid al-Adha,Muslim
23-Aug,Thursday,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance
25-Aug,Saturday,Raksha Bandhan,Hindu Holiday
26-Aug,Sunday,Women's Equality Day,Observance
27-Aug,Monday,Lyndon Baines Johnson Day,State holiday
29-Aug,Wednesday,International Day against Nuclear Tests,United Nations observance
30-Aug,Thursday,International Day of the Victims of Enforced Disappearances,United Nations observance
31-Aug,Friday,International Overdose Awareness Day,Worldwide observance
